"instrument","date","open","high","low","close","volume","source","complete"
"BTCUSDT","2023-11-01","34639.78","35582","34097.39","35421.43","53473.28165","binance_spot_klines","true"
"BTCUSDT","2023-11-02","35421.43","35984.99","34300","34941.59","48015.57732","binance_spot_klines","true"
"BTCUSDT","2023-11-03","34941.58","34946.5","34120","34716.78","39071.20644","binance_spot_klines","true"
"BTCUSDT","2023-11-04","34716.78","35255","34585.18","35062.07","18377.55545","binance_spot_klines","true"
"BTCUSDT","2023-11-05","35062.06","35380","34448","35011.88","24528.73376","binance_spot_klines","true"
"BTCUSDT","2023-11-06","35011.89","35276.33","34725.9","35046.09","22346.47086","binance_spot_klines","true"
"BTCUSDT","2023-11-07","35046.09","35888","34523.06","35399.12","38688.73692","binance_spot_klines","true"
"BTCUSDT","2023-11-08","35399.13","36106","35100","35624.72","33401.34137","binance_spot_klines","true"
"BTCUSDT","2023-11-09","35624.72","37972.24","35534.05","36701.09","82537.88885","binance_spot_klines","true"
"BTCUSDT","2023-11-10","36701.1","37526","36324.71","37301.63","43414.04898","binance_spot_klines","true"
"BTCUSDT","2023-11-11","37301.63","37408.26","36666.93","37130","22984.97235","binance_spot_klines","true"
"BTCUSDT","2023-11-12","37129.99","37222.22","36731.1","37064.13","17687.18874","binance_spot_klines","true"
"BTCUSDT","2023-11-13","37064.13","37417.99","36333","36462.93","32798.18252","binance_spot_klines","true"
"BTCUSDT","2023-11-14","36462.93","36744","34800","35551.19","45503.68416","binance_spot_klines","true"
"BTCUSDT","2023-11-15","35551.2","37980","35360","37858.2","53569.13385","binance_spot_klines","true"
"BTCUSDT","2023-11-16","37858.2","37929.54","35500","36163.51","47490.39566","binance_spot_klines","true"
"BTCUSDT","2023-11-17","36163.51","36800","35861.1","36613.92","38283.61112","binance_spot_klines","true"
"BTCUSDT","2023-11-18","36613.91","36845.49","36178.58","36568.1","17102.24186","binance_spot_klines","true"
"BTCUSDT","2023-11-19","36568.11","37500","36384.02","37359.86","21246.34648","binance_spot_klines","true"
"BTCUSDT","2023-11-20","37359.85","37750","36677","37448.78","36022.70291","binance_spot_klines","true"
"BTCUSDT","2023-11-21","37448.79","37649.44","35735","35741.65","47646.54804","binance_spot_klines","true"
"BTCUSDT","2023-11-22","35741.65","37861.1","35632.01","37408.34","45051.30697","binance_spot_klines","true"
"BTCUSDT","2023-11-23","37408.35","37653.44","36870","37294.28","23827.92882","binance_spot_klines","true"
"BTCUSDT","2023-11-24","37294.27","38414","37251.51","37713.57","44680.80646","binance_spot_klines","true"
"BTCUSDT","2023-11-25","37713.57","37888","37591.1","37780.67","11396.14464","binance_spot_klines","true"
"BTCUSDT","2023-11-26","37780.67","37814.63","37150","37447.43","21264.53723","binance_spot_klines","true"
