"instrument","time","date","open","high","low","close","volume","source","complete"
"BTCUSDT","2023-11-01T00:00:00.000Z","2023-11-01","34639.78","34668.05","34500.15","34507.68","1514.98495","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T01:00:00.000Z","2023-11-01","34507.67","34557.11","34465.62","34492.07","813.73754","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T02:00:00.000Z","2023-11-01","34492.08","34494.2","34426.09","34450.03","646.5171","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T03:00:00.000Z","2023-11-01","34450.04","34466.03","34400","34418.4","772.84636","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T04:00:00.000Z","2023-11-01","34418.39","34464.97","34386.44","34439.57","715.07737","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T05:00:00.000Z","2023-11-01","34439.57","34443.85","34333","34348.39","839.52376","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T06:00:00.000Z","2023-11-01","34348.4","34416.66","34316","34407.11","813.92979","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T07:00:00.000Z","2023-11-01","34407.1","34498.57","34392.26","34451.28","847.98166","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T08:00:00.000Z","2023-11-01","34451.28","34476.41","34411.47","34440.17","828.42682","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T09:00:00.000Z","2023-11-01","34440.17","34493.48","34415.93","34481.84","670.82299","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T10:00:00.000Z","2023-11-01","34481.84","34481.85","34353.4","34374.69","920.44454","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T11:00:00.000Z","2023-11-01","34374.69","34449.33","34345","34424.07","931.10278","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T12:00:00.000Z","2023-11-01","34424.07","34889.96","34345","34790.61","3597.29663","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T13:00:00.000Z","2023-11-01","34790.6","35200","34400.33","34595.54","8043.74214","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T14:00:00.000Z","2023-11-01","34595.54","34660","34097.39","34183.96","4626.89653","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T15:00:00.000Z","2023-11-01","34183.97","34311.24","34161.73","34291.94","2718.96188","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T16:00:00.000Z","2023-11-01","34291.94","34543.13","34280.02","34458.63","2127.28394","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T17:00:00.000Z","2023-11-01","34458.62","34534.46","34350","34510.28","1969.67109","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T18:00:00.000Z","2023-11-01","34510.28","34738.07","34432.76","34578.5","3128.29895","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T19:00:00.000Z","2023-11-01","34578.49","34720.43","34491.82","34557.67","2394.85314","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T20:00:00.000Z","2023-11-01","34557.67","35478","34540","35406.08","5243.98487","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T21:00:00.000Z","2023-11-01","35406.08","35582","35086.57","35380.93","5321.37885","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T22:00:00.000Z","2023-11-01","35380.92","35530.16","35192.25","35280.28","2579.70032","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-01T23:00:00.000Z","2023-11-01","35280.29","35464.1","35222.22","35421.43","1405.81765","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T00:00:00.000Z","2023-11-02","35421.43","35649.99","35362","35423.29","2217.57614","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T01:00:00.000Z","2023-11-02","35423.3","35616.01","35397.21","35567.88","1474.15678","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T02:00:00.000Z","2023-11-02","35567.88","35984.99","35518.61","35678.85","3510.79479","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T03:00:00.000Z","2023-11-02","35678.85","35819.81","35550","35571.68","2247.13667","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T04:00:00.000Z","2023-11-02","35571.68","35600","35445.92","35460.39","1226.10027","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T05:00:00.000Z","2023-11-02","35460.38","35486.75","35152","35196.7","2416.78948","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T06:00:00.000Z","2023-11-02","35196.69","35262.24","35063.25","35231.22","1938.73321","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T07:00:00.000Z","2023-11-02","35231.21","35352.88","35212","35279.85","1303.93083","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T08:00:00.000Z","2023-11-02","35279.86","35320","35095","35318.14","1649.69324","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T09:00:00.000Z","2023-11-02","35318.14","35410","35253.02","35377.12","1297.11925","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T10:00:00.000Z","2023-11-02","35377.12","35478.02","35336.01","35370.05","1340.01079","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T11:00:00.000Z","2023-11-02","35370.06","35438.79","35304.87","35373.56","1221.66077","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T12:00:00.000Z","2023-11-02","35373.56","35457.96","35304.92","35351.13","1118.81115","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T13:00:00.000Z","2023-11-02","35351.12","35367.11","34680","34926.96","4493.79779","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T14:00:00.000Z","2023-11-02","34926.97","35023.34","34689.93","34924.74","3464.22005","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T15:00:00.000Z","2023-11-02","34924.74","34932.53","34537.99","34640.01","3413.86798","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T16:00:00.000Z","2023-11-02","34640.01","34739.47","34300","34646","3842.14319","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T17:00:00.000Z","2023-11-02","34646","34781.25","34550.01","34771.99","1800.05857","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T18:00:00.000Z","2023-11-02","34772","34865.69","34720.83","34847.69","1523.3874","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T19:00:00.000Z","2023-11-02","34847.69","35017.42","34811.21","35000.01","1551.6449","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T20:00:00.000Z","2023-11-02","35000","35097.19","34822","34903.64","2288.063","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T21:00:00.000Z","2023-11-02","34903.65","34973.64","34846.45","34921.92","947.06339","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T22:00:00.000Z","2023-11-02","34921.93","34927.5","34764.7","34788.81","880.15839","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-02T23:00:00.000Z","2023-11-02","34788.82","34941.59","34706.51","34941.59","848.65929","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T00:00:00.000Z","2023-11-03","34941.58","34946.5","34400.81","34510.29","2936.40188","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T01:00:00.000Z","2023-11-03","34510.3","34622.22","34366.7","34594.32","1761.37646","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T02:00:00.000Z","2023-11-03","34594.33","34711.73","34552.92","34677.59","956.63199","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T03:00:00.000Z","2023-11-03","34677.59","34702.93","34624","34681.92","576.59651","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T04:00:00.000Z","2023-11-03","34681.91","34696.4","34310","34404.25","1746.7696","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T05:00:00.000Z","2023-11-03","34404.26","34553.05","34335.17","34540.72","1171.48608","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T06:00:00.000Z","2023-11-03","34540.72","34563.57","34424.84","34444.92","977.46877","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T07:00:00.000Z","2023-11-03","34444.93","34505.88","34355","34464.97","1280.98806","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T08:00:00.000Z","2023-11-03","34464.98","34626.12","34212","34428.07","2688.98223","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T09:00:00.000Z","2023-11-03","34428.07","34448.67","34195","34258.94","2447.16302","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T10:00:00.000Z","2023-11-03","34258.95","34280","34120","34279.34","2361.08804","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T11:00:00.000Z","2023-11-03","34279.35","34281.76","34163","34252.4","1599.34986","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T12:00:00.000Z","2023-11-03","34252.39","34450","34150.68","34398.09","2071.16241","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T13:00:00.000Z","2023-11-03","34398.09","34584.9","34334.75","34570.8","1702.31642","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T14:00:00.000Z","2023-11-03","34570.8","34788","34500.68","34712.69","2742.21762","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T15:00:00.000Z","2023-11-03","34712.69","34848.79","34682.77","34763.71","2312.19501","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T16:00:00.000Z","2023-11-03","34763.71","34822.15","34576.29","34665.96","1891.89478","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T17:00:00.000Z","2023-11-03","34665.95","34669.89","34323.37","34425.2","2104.06717","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T18:00:00.000Z","2023-11-03","34425.21","34604.68","34351.18","34527.89","1395.31091","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T19:00:00.000Z","2023-11-03","34527.89","34585.35","34419.35","34530.71","1057.02773","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T20:00:00.000Z","2023-11-03","34530.71","34659.66","34485.65","34593.9","1046.24789","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T21:00:00.000Z","2023-11-03","34593.9","34700","34583.86","34600.93","704.45031","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T22:00:00.000Z","2023-11-03","34600.94","34635.25","34563.54","34628.14","645.16337","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-03T23:00:00.000Z","2023-11-03","34628.13","34740","34611.38","34716.78","894.85032","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-04T00:00:00.000Z","2023-11-04","34716.78","34725","34653.84","34696.65","654.53035","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-04T01:00:00.000Z","2023-11-04","34696.66","34786.68","34632.47","34768.15","724.86868","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-04T02:00:00.000Z","2023-11-04","34768.14","34786.66","34668.17","34673.75","550.41025","binance_spot_klines_1h","true"
"BTCUSDT","2023-11-04T03:00:00.000Z","2023-11-04","34673.76","34729.33","34647","34708.9","360.04527","binance_spot_klines_1h","true"
