"instrument","date","open","high","low","close","volume","source","complete"
"EUR_USD","2023-11-01","1.05777","1.05869","1.05166","1.05868","104938","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-02","1.0587","1.06678","1.05838","1.06157","87756","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-03","1.0616","1.07469","1.06149","1.07286","88990","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-05","1.0725","1.07336","1.07238","1.07315","1876","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-06","1.07316","1.07564","1.07162","1.07184","67840","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-07","1.07186","1.07196","1.06642","1.06956","78060","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-08","1.06956","1.07162","1.06594","1.07112","77753","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-09","1.07114","1.07256","1.06603","1.0667","90886","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-10","1.06672","1.06929","1.06562","1.06847","75673","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-12","1.06842","1.06908","1.06815","1.06906","2648","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-13","1.06904","1.07062","1.06651","1.07012","64092","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-14","1.07014","1.08876","1.06929","1.08776","89841","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-15","1.08778","1.08861","1.08316","1.08542","88033","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-16","1.08544","1.08956","1.08302","1.08532","83078","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-17","1.08532","1.09143","1.08248","1.09127","78874","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-19","1.09106","1.09126","1.09056","1.09056","1723","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-20","1.09054","1.09519","1.08975","1.09448","77676","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-21","1.09447","1.09652","1.09002","1.09172","83184","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-22","1.09174","1.0923","1.08524","1.08882","85349","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-23","1.0888","1.09309","1.08872","1.09038","48472","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-24","1.09043","1.09489","1.0895","1.09399","65529","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-26","1.09452","1.09478","1.09386","1.09397","1637","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-27","1.09397","1.09594","1.0925","1.09592","73971","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-28","1.0959","1.1009","1.09346","1.10041","89582","oanda_v20_mid_utc","true"
"EUR_USD","2023-11-29","1.10044","1.10173","1.09602","1.09735","95946","oanda_v20_mid_utc","true"
