"instrument","time","date","open","high","low","close","volume","source","complete"
"EUR_USD","2023-11-01T00:00:00.000Z","2023-11-01","1.05777","1.05806","1.05687","1.05735","2114","oanda_v20_mid_h1_utc","true"
"EUR_USD","2023-11-01T01:00:00.000Z","2023-11-01","1.05732","1.05766","1.05674","1.05692","2582","oanda_v20_mid_h1_utc","true"
"EUR_USD","2023-11-01T02:00:00.000Z","2023-11-01","1.05692","1.05732","1.05666","1.05704","1904","oanda_v20_mid_h1_utc","true"
"EUR_USD","2023-11-01T03:00:00.000Z","2023-11-01","1.05705","1.05739","1.05688","1.05704","1828","oanda_v20_mid_h1_utc","true"
"EUR_USD","2023-11-01T04:00:00.000Z","2023-11-01","1.05706","1.05721","1.0566","1.05672","1713","oanda_v20_mid_h1_utc","true"
"EUR_USD","2023-11-01T05:00:00.000Z","2023-11-01","1.05672","1.05694","1.05653","1.0568","1623","oanda_v20_mid_h1_utc","true"
"EUR_USD","2023-11-01T06:00:00.000Z","2023-11-01","1.05681","1.05764","1.0568","1.05741","2068","oanda_v20_mid_h1_utc","true"
"EUR_USD","2023-11-01T07:00:00.000Z","2023-11-01","1.0574","1.05776","1.0559","1.05646","3401","oanda_v20_mid_h1_utc","true"
"EUR_USD","2023-11-01T08:00:00.000Z","2023-11-01","1.05646","1.05682","1.05571","1.05583","4138","oanda_v20_mid_h1_utc","true"
"EUR_USD","2023-11-01T09:00:00.000Z","2023-11-01","1.05583","1.05628","1.05454","1.05492","3294","oanda_v20_mid_h1_utc","true"
"EUR_USD","2023-11-01T10:00:00.000Z","2023-11-01","1.05493","1.05538","1.05457","1.05482","2688","oanda_v20_mid_h1_utc","true"
"EUR_USD","2023-11-01T11:00:00.000Z","2023-11-01","1.05482","1.05508","1.05409","1.0543","3101","oanda_v20_mid_h1_utc","true"
"EUR_USD","2023-11-01T12:00:00.000Z","2023-11-01","1.0543","1.05577","1.05369","1.05386","8793","oanda_v20_mid_h1_utc","true"
