"instrument","date","open","high","low","close","volume","source","complete"
"NAS100_USD","2023-11-01","14381","14723","14339.4","14720.2","95560","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-02","14719","14944.8","14705","14872","68771","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-03","14872.8","15158.4","14860.6","15114.2","67815","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-05","15126.5","15131.6","15101.8","15105","972","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-06","15104.2","15186.6","15073.6","15144.2","53653","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-07","15144.8","15347.2","15111.2","15303.6","52625","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-08","15303.6","15352.2","15222.2","15290.6","55538","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-09","15291.4","15389.2","15160.8","15169.4","74394","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-10","15168.6","15552.4","15144.4","15521.6","58367","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-12","15532","15540","15487.8","15499.6","1748","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-13","15499.8","15531.2","15404.4","15501.8","50996","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-14","15501","15862.6","15495.2","15844.6","56428","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-15","15845.4","15987.6","15774.4","15805.2","60653","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-16","15804.2","15849.6","15738.6","15829.2","59908","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-17","15829.8","15884.8","15768.2","15819.6","51814","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-19","15842.6","15848.2","15793.8","15808.8","981","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-20","15809.6","16061.2","15782.4","16045.2","45233","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-21","16044.6","16066.4","15861.4","15907.4","51320","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-22","15908","16125.4","15895.8","16001","56642","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-23","16002","16041.6","15994.2","16020","5164","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-24","16019.2","16026.2","15937.8","15967.4","23358","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-26","15959.2","15959.2","15939","15942.8","407","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-27","15942","16044.6","15894.8","15965.4","38955","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-28","15964.6","16026.8","15900.8","16011.8","48485","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-29","16012.4","16166","15984.4","16013.4","49853","oanda_v20_mid_utc","true"
"NAS100_USD","2023-11-30","16014.2","16064.8","15825.4","15932.2","60259","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-01","15931.4","16020.6","15833","16001.8","62683","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-03","15994.8","15996.8","15959.2","15963","668","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-04","15963.6","15974","15692.2","15827","53338","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-05","15827.6","15937.8","15739","15907.6","63334","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-06","15908.4","16017.6","15783.7","15799.4","59504","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-07","15798.6","16050.6","15774","16005","58164","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-08","16006.2","16103.2","15875.6","16078.2","61383","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-10","16074.8","16098.6","16068.2","16089.6","1798","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-11","16089.2","16242.2","16030.8","16235","61580","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-12","16235.4","16413.8","16179.2","16410.4","62456","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-13","16409.6","16623.8","16386.2","16623","57351","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-14","16621.8","16691.4","16436.8","16569.4","71997","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-15","16568.6","16697.2","16555.8","16624.8","58122","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-17","16638","16647.6","16612.8","16634","701","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-18","16633.4","16799","16618.8","16748","39804","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-19","16747.2","16857.8","16735","16852.4","42806","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-20","16853","16897.8","16585.8","16637.8","52749","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-21","16638.6","16797.2","16627.6","16773.6","70697","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-22","16774.4","16872.6","16723.6","16793.8","55225","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-25","16822.2","16842.6","16816.4","16836.4","612","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-26","16835.6","16953","16817","16921.8","26045","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-27","16921","16966.8","16888.4","16956.2","39573","oanda_v20_mid_utc","true"
"NAS100_USD","2023-12-28","16955.4","16999.2","16914.6","16936.6","32151","oanda_v20_mid_utc","true"
