"instrument","time","date","open","high","low","close","volume","source","complete"
"NAS100_USD","2023-11-01T00:00:00.000Z","2023-11-01","14381","14392.2","14372","14381.4","676","oanda_v20_mid_h1_utc","true"
"NAS100_USD","2023-11-01T01:00:00.000Z","2023-11-01","14380.6","14385.2","14368","14374.8","586","oanda_v20_mid_h1_utc","true"
"NAS100_USD","2023-11-01T02:00:00.000Z","2023-11-01","14374.2","14402","14372.4","14401","496","oanda_v20_mid_h1_utc","true"
"NAS100_USD","2023-11-01T03:00:00.000Z","2023-11-01","14400.2","14404.6","14398","14398.2","156","oanda_v20_mid_h1_utc","true"
"NAS100_USD","2023-11-01T04:00:00.000Z","2023-11-01","14397.4","14404.2","14393.9","14401.2","119","oanda_v20_mid_h1_utc","true"
"NAS100_USD","2023-11-01T05:00:00.000Z","2023-11-01","14400.2","14401","14382.2","14384","261","oanda_v20_mid_h1_utc","true"
"NAS100_USD","2023-11-01T06:00:00.000Z","2023-11-01","14383.2","14420.4","14383.2","14419","255","oanda_v20_mid_h1_utc","true"
"NAS100_USD","2023-11-01T07:00:00.000Z","2023-11-01","14419.8","14419.8","14389.4","14390.4","445","oanda_v20_mid_h1_utc","true"
"NAS100_USD","2023-11-01T08:00:00.000Z","2023-11-01","14391.2","14399.4","14358.6","14367.6","2454","oanda_v20_mid_h1_utc","true"
"NAS100_USD","2023-11-01T09:00:00.000Z","2023-11-01","14366.4","14381.4","14349.8","14359.8","1012","oanda_v20_mid_h1_utc","true"
"NAS100_USD","2023-11-01T10:00:00.000Z","2023-11-01","14361","14371.2","14345.6","14364","1034","oanda_v20_mid_h1_utc","true"
"NAS100_USD","2023-11-01T11:00:00.000Z","2023-11-01","14364.4","14371.6","14339.4","14348.6","709","oanda_v20_mid_h1_utc","true"
"NAS100_USD","2023-11-01T12:00:00.000Z","2023-11-01","14348","14441.4","14345.6","14426.6","3081","oanda_v20_mid_h1_utc","true"
"NAS100_USD","2023-11-01T13:00:00.000Z","2023-11-01","14427.4","14509.4","14396.9","14474.2","10319","oanda_v20_mid_h1_utc","true"
"NAS100_USD","2023-11-01T14:00:00.000Z","2023-11-01","14503.7","14577.4","14458.6","14551.2","14828","oanda_v20_mid_h1_utc","true"
"NAS100_USD","2023-11-01T15:00:00.000Z","2023-11-01","14550.6","14571","14505.2","14539.4","8416","oanda_v20_mid_h1_utc","true"
