"instrument","date","open","high","low","close","volume","source","complete"
"XAU_USD","2023-11-01","1983.79","1992.085","1969.91","1985.16","141938","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-02","1985.145","1991.06","1978.915","1985","108689","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-03","1985.03","2004.1","1983.34","1992.59","134853","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-05","1992.41","1992.58","1987.23","1988.63","2386","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-06","1988.61","1993.145","1975.845","1976.855","97170","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-07","1976.93","1977.095","1956.76","1968.975","118345","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-08","1968.98","1971.1","1947.48","1950.98","106419","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-09","1950.99","1965.7","1944.725","1959.235","127198","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-10","1959.21","1960.835","1933.03","1938.385","110391","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-12","1941.045","1943.9","1935.44","1940.455","1460","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-13","1940.42","1949.21","1931.685","1946.625","103572","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-14","1946.6","1971.05","1941.535","1962.535","120149","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-15","1962.59","1975.425","1955.49","1960.49","126256","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-16","1960.44","1988","1956.545","1982.7","123355","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-17","1982.615","1993.49","1978.635","1980.73","110519","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-19","1977.39","1978.835","1974.315","1974.695","2094","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-20","1974.7","1985.25","1965.495","1981.34","136466","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-21","1981.325","2007.65","1980.835","1999.39","151597","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-22","1999.34","2006.455","1986.965","1990.51","130519","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-23","1990.425","1998.57","1989.895","1994.155","63706","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-24","1994.215","2003.66","1991.49","2002.495","91627","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-26","2001.38","2003.215","2000.67","2002.47","2934","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-27","2002.465","2018.325","2001.91","2015.305","129589","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-28","2015.31","2044.61","2011.685","2044.475","111060","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-29","2044.545","2052.06","2035.32","2044.74","177844","oanda_v20_mid_utc","true"
"XAU_USD","2023-11-30","2044.795","2047.235","2031.53","2040.145","152199","oanda_v20_mid_utc","true"
"XAU_USD","2023-12-01","2040.205","2075.43","2033.94","2071.88","169896","oanda_v20_mid_utc","true"
"XAU_USD","2023-12-03","2073.55","2148.99","2071.87","2117.72","9906","oanda_v20_mid_utc","true"
"XAU_USD","2023-12-04","2117.965","2120.685","2020.135","2034.08","236476","oanda_v20_mid_utc","true"
"XAU_USD","2023-12-05","2034.055","2041.3","2009.936","2019","182536","oanda_v20_mid_utc","true"
"XAU_USD","2023-12-06","2019.015","2035.97","2018.815","2027.165","152717","oanda_v20_mid_utc","true"
"XAU_USD","2023-12-07","2027.095","2039.975","2020.235","2028.14","170230","oanda_v20_mid_utc","true"
"XAU_USD","2023-12-08","2028.155","2034.065","1994.74","2004.44","197550","oanda_v20_mid_utc","true"
"XAU_USD","2023-12-10","2004.89","2007.76","2004.515","2007.12","3476","oanda_v20_mid_utc","true"
"XAU_USD","2023-12-11","2007.125","2007.85","1975.895","1983.08","152120","oanda_v20_mid_utc","true"
