"instrument","time","date","open","high","low","close","volume","source","complete"
"XAU_USD","2023-11-01T00:00:00.000Z","2023-11-01","1983.79","1984.115","1978.835","1980.055","3298","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T01:00:00.000Z","2023-11-01","1980.035","1981.48","1978.025","1979.625","4239","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T02:00:00.000Z","2023-11-01","1979.61","1981.025","1978.365","1978.4","4047","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T03:00:00.000Z","2023-11-01","1978.13","1979.105","1976.96","1977.19","2004","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T04:00:00.000Z","2023-11-01","1977.185","1978.415","1975.24","1977.68","2549","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T05:00:00.000Z","2023-11-01","1977.605","1979.505","1976.375","1979.12","3090","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T06:00:00.000Z","2023-11-01","1979.125","1981.12","1979.125","1980.225","2913","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T07:00:00.000Z","2023-11-01","1980.185","1980.635","1976.525","1977.125","3574","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T08:00:00.000Z","2023-11-01","1977.185","1983","1977.155","1982.53","5339","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T09:00:00.000Z","2023-11-01","1982.565","1983.81","1980.585","1982.77","4145","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T10:00:00.000Z","2023-11-01","1982.82","1984.205","1982.115","1983.31","3025","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T11:00:00.000Z","2023-11-01","1983.315","1985.265","1982.48","1983.49","3751","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T12:00:00.000Z","2023-11-01","1983.47","1988.615","1983.305","1986.67","12398","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T13:00:00.000Z","2023-11-01","1986.68","1987.315","1981.135","1985.725","13005","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T14:00:00.000Z","2023-11-01","1986.183","1992.085","1986","1986.62","19464","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T15:00:00.000Z","2023-11-01","1986.675","1987.245","1978.355","1979.27","9176","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T16:00:00.000Z","2023-11-01","1979.17","1980.515","1974.57","1977.87","7005","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T17:00:00.000Z","2023-11-01","1977.905","1979.985","1977.44","1977.85","4340","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T18:00:00.000Z","2023-11-01","1977.86","1982.46","1969.91","1974.98","16177","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T19:00:00.000Z","2023-11-01","1974.965","1982.35","1974.83","1978.58","10575","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T20:00:00.000Z","2023-11-01","1978.565","1982.96","1977.1","1982.355","3531","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T22:00:00.000Z","2023-11-01","1982.866","1984.255","1981.435","1983.92","1358","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-01T23:00:00.000Z","2023-11-01","1983.81","1985.785","1983.605","1985.16","2935","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T00:00:00.000Z","2023-11-02","1985.145","1986.24","1984","1984.755","3103","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T01:00:00.000Z","2023-11-02","1984.73","1988.225","1984.335","1986.3","4618","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T02:00:00.000Z","2023-11-02","1986.28","1986.615","1983.515","1983.865","3587","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T03:00:00.000Z","2023-11-02","1983.8","1985.6","1983.455","1985.455","1982","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T04:00:00.000Z","2023-11-02","1985.465","1986.6","1984.285","1986.14","2687","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T05:00:00.000Z","2023-11-02","1986.045","1986.73","1984.28","1985.49","2566","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T06:00:00.000Z","2023-11-02","1985.455","1986.22","1984.44","1985.815","2766","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T07:00:00.000Z","2023-11-02","1985.72","1986.485","1983.72","1985.53","3580","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T08:00:00.000Z","2023-11-02","1985.535","1988.5","1984.53","1986.85","3977","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T09:00:00.000Z","2023-11-02","1986.875","1989.65","1986.71","1988.215","4758","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T10:00:00.000Z","2023-11-02","1988.22","1989.465","1985.815","1988.89","4042","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T11:00:00.000Z","2023-11-02","1988.94","1990.485","1987.535","1988.56","2979","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T12:00:00.000Z","2023-11-02","1988.595","1991.035","1986.93","1990.405","11503","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T13:00:00.000Z","2023-11-02","1990.41","1991.06","1982.04","1984.44","15207","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T14:00:00.000Z","2023-11-02","1984.26","1985.32","1980.67","1984.37","13017","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T15:00:00.000Z","2023-11-02","1984.31","1985.085","1978.915","1981.205","9459","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T16:00:00.000Z","2023-11-02","1981.21","1983.435","1979.065","1981.865","7177","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T17:00:00.000Z","2023-11-02","1981.85","1986.675","1981.545","1985.075","4938","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T18:00:00.000Z","2023-11-02","1985.095","1986.3","1984.455","1986.02","1832","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T19:00:00.000Z","2023-11-02","1985.935","1986.395","1983.695","1985.49","1694","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T20:00:00.000Z","2023-11-02","1985.45","1985.91","1984.54","1985.91","1799","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T22:00:00.000Z","2023-11-02","1986.09","1986.6","1984.65","1985","708","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-02T23:00:00.000Z","2023-11-02","1985.015","1986.365","1984.425","1985","710","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-03T00:00:00.000Z","2023-11-03","1985.03","1986.31","1985.025","1985.67","1291","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-03T01:00:00.000Z","2023-11-03","1985.765","1985.82","1983.34","1983.925","3279","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-03T02:00:00.000Z","2023-11-03","1983.935","1987.93","1983.83","1987.45","3323","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-03T03:00:00.000Z","2023-11-03","1987.485","1987.615","1985.49","1985.915","1084","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-03T04:00:00.000Z","2023-11-03","1985.89","1986.865","1985.545","1985.89","1798","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-03T05:00:00.000Z","2023-11-03","1985.905","1987.35","1985.84","1987.175","1255","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-03T06:00:00.000Z","2023-11-03","1987.27","1988.42","1985.965","1987.72","2305","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-03T07:00:00.000Z","2023-11-03","1987.71","1989.325","1984.49","1986.605","4305","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-03T08:00:00.000Z","2023-11-03","1986.59","1989.255","1986.2","1988.655","6246","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-03T09:00:00.000Z","2023-11-03","1988.575","1990.41","1988.405","1989.1","4675","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-03T10:00:00.000Z","2023-11-03","1989.095","1989.8","1987.12","1988.335","2953","oanda_v20_mid_h1_utc","true"
"XAU_USD","2023-11-03T11:00:00.000Z","2023-11-03","1988.32","1988.72","1987.055","1987.68","2157","oanda_v20_mid_h1_utc","true"
