"date","open","high","low","close","volume","adjusted_close","source_symbol"
"2023-11-01","1.0574","1.05806","1.05165","1.0567","","","EURUSD"
"2023-11-02","1.0567","1.06676","1.0567","1.06211","","","EURUSD"
"2023-11-03","1.06203","1.07467","1.06144","1.073","","","EURUSD"
"2023-11-06","1.07243","1.07563","1.07158","1.07173","","","EURUSD"
"2023-11-07","1.07168","1.07221","1.0664","1.06998","","","EURUSD"
"2023-11-08","1.06993","1.0716","1.0659","1.0709","","","EURUSD"
"2023-11-09","1.07076","1.07254","1.06598","1.06671","","","EURUSD"
"2023-11-10","1.06671","1.0693","1.06559","1.06848","","","EURUSD"
"2023-11-13","1.06826","1.07061","1.06647","1.06987","","","EURUSD"
"2023-11-14","1.06975","1.08875","1.06927","1.08787","","","EURUSD"
"2023-11-15","1.08788","1.08861","1.08313","1.08468","","","EURUSD"
"2023-11-16","1.08453","1.08955","1.08299","1.08517","","","EURUSD"
"2023-11-17","1.08501","1.09148","1.08246","1.09138","","","EURUSD"
"2023-11-20","1.09095","1.09518","1.0897","1.09394","","","EURUSD"
"2023-11-21","1.09386","1.09651","1.08998","1.0911","","","EURUSD"
"2023-11-22","1.091","1.0923","1.08522","1.08883","","","EURUSD"
"2023-11-23","1.08864","1.09304","1.08815","1.09035","","","EURUSD"
"2023-11-24","1.09031","1.09486","1.08947","1.09367","","","EURUSD"
"2023-11-27","1.09426","1.09594","1.09247","1.09531","","","EURUSD"
"2023-11-28","1.09518","1.1009","1.09342","1.09927","","","EURUSD"
"2023-11-29","1.09908","1.10171","1.096","1.09692","","","EURUSD"
"2023-11-30","1.09675","1.0984","1.0879","1.08861","","","EURUSD"
"2023-12-01","1.0886","1.09127","1.08287","1.08818","","","EURUSD"
"2023-12-04","1.08765","1.0895","1.08039","1.08359","","","EURUSD"
"2023-12-05","1.0836","1.08474","1.07778","1.07965","","","EURUSD"
"2023-12-06","1.07965","1.08047","1.07583","1.07643","","","EURUSD"
"2023-12-07","1.07621","1.08175","1.07548","1.07936","","","EURUSD"
"2023-12-08","1.07918","1.08007","1.0723","1.07608","","","EURUSD"
"2023-12-11","1.0759","1.0779","1.07414","1.0764","","","EURUSD"
"2023-12-12","1.07631","1.08281","1.0757","1.07943","","","EURUSD"
"2023-12-13","1.07937","1.08966","1.07729","1.08742","","","EURUSD"
"2023-12-14","1.08728","1.10092","1.087","1.09921","","","EURUSD"
"2023-12-15","1.09912","1.10038","1.08885","1.08922","","","EURUSD"
"2023-12-18","1.0897","1.09312","1.08914","1.09235","","","EURUSD"
"2023-12-19","1.09228","1.09873","1.09145","1.09805","","","EURUSD"
"2023-12-20","1.09787","1.09843","1.09296","1.09413","","","EURUSD"
"2023-12-21","1.09413","1.10126","1.09347","1.10109","","","EURUSD"
"2023-12-22","1.10109","1.10401","1.09935","1.1011","","","EURUSD"
"2023-12-25","1.1016","1.10202","1.09913","1.1008","","","EURUSD"
"2023-12-26","1.1011","1.1045","1.10073","1.10417","","","EURUSD"
"2023-12-27","1.10417","1.11226","1.10284","1.11044","","","EURUSD"
"2023-12-28","1.11044","1.11395","1.10549","1.10593","","","EURUSD"
"2023-12-29","1.10594","1.10842","1.10338","1.10374","","","EURUSD"
"2024-01-01","1.104","1.1046","1.1034","1.1044","","","EURUSD"
"2024-01-02","1.10438","1.10454","1.0938","1.09416","","","EURUSD"
"2024-01-03","1.09414","1.09654","1.08928","1.09215","","","EURUSD"
"2024-01-04","1.09209","1.09722","1.09142","1.09447","","","EURUSD"
"2024-01-05","1.0944","1.09984","1.08767","1.09392","","","EURUSD"
"2024-01-08","1.09446","1.09788","1.09224","1.09495","","","EURUSD"
"2024-01-09","1.09501","1.09663","1.09101","1.0931","","","EURUSD"
"2024-01-10","1.09294","1.09731","1.09226","1.09724","","","EURUSD"
"2024-01-11","1.09722","1.09999","1.093","1.09723","","","EURUSD"
"2024-01-12","1.09715","1.0987","1.09356","1.09483","","","EURUSD"
"2024-01-15","1.0953","1.09676","1.0933","1.09483","","","EURUSD"
"2024-01-16","1.09482","1.0951","1.0862","1.08751","","","EURUSD"
"2024-01-17","1.0874","1.08845","1.08443","1.08827","","","EURUSD"
"2024-01-18","1.08811","1.09068","1.08464","1.08762","","","EURUSD"
"2024-01-19","1.08757","1.08983","1.08654","1.0896","","","EURUSD"
"2024-01-22","1.08901","1.09095","1.08797","1.08824","","","EURUSD"
"2024-01-23","1.0882","1.09162","1.08214","1.08541","","","EURUSD"
"2024-01-24","1.0854","1.09323","1.08462","1.08843","","","EURUSD"
"2024-01-25","1.08843","1.09018","1.08214","1.08454","","","EURUSD"
"2024-01-26","1.08449","1.08854","1.08125","1.08512","","","EURUSD"
"2024-01-29","1.0843","1.08501","1.07956","1.08328","","","EURUSD"
"2024-01-30","1.0832","1.08573","1.08117","1.08447","","","EURUSD"
"2024-01-31","1.08446","1.08874","1.07947","1.0818","","","EURUSD"
"2024-02-01","1.0818","1.0875","1.07797","1.08713","","","EURUSD"
"2024-02-02","1.08714","1.08974","1.07802","1.07849","","","EURUSD"
"2024-02-05","1.0785","1.07861","1.07229","1.07419","","","EURUSD"
"2024-02-06","1.07418","1.07623","1.07224","1.07545","","","EURUSD"
"2024-02-07","1.0754","1.0784","1.07487","1.07717","","","EURUSD"
"2024-02-08","1.07704","1.07889","1.07414","1.07775","","","EURUSD"
"2024-02-09","1.07767","1.07951","1.07619","1.07821","","","EURUSD"
"2024-02-12","1.07778","1.08055","1.07556","1.07713","","","EURUSD"
"2024-02-13","1.07708","1.07985","1.07003","1.07079","","","EURUSD"
"2024-02-14","1.07087","1.07344","1.06945","1.07264","","","EURUSD"
"2024-02-15","1.07243","1.07848","1.07224","1.0772","","","EURUSD"
"2024-02-16","1.07718","1.07874","1.07318","1.07749","","","EURUSD"
"2024-02-19","1.07719","1.07894","1.07618","1.07785","","","EURUSD"
"2024-02-20","1.0777","1.0839","1.07614","1.08076","","","EURUSD"
"2024-02-21","1.08075","1.08245","1.07897","1.08185","","","EURUSD"
"2024-02-22","1.08182","1.08882","1.08025","1.08222","","","EURUSD"
"2024-02-23","1.08221","1.08396","1.08115","1.08188","","","EURUSD"
"2024-02-26","1.08319","1.08597","1.08124","1.08509","","","EURUSD"
"2024-02-27","1.08504","1.0866","1.08328","1.08437","","","EURUSD"
"2024-02-28","1.08437","1.08474","1.07965","1.08377","","","EURUSD"
"2024-02-29","1.08363","1.0856","1.07956","1.08053","","","EURUSD"
"2024-03-01","1.08046","1.08432","1.0798","1.08368","","","EURUSD"
"2024-03-04","1.0838","1.0867","1.08349","1.08555","","","EURUSD"
"2024-03-05","1.0856","1.08762","1.08401","1.08547","","","EURUSD"
"2024-03-06","1.0856","1.09153","1.08418","1.08986","","","EURUSD"
"2024-03-07","1.0898","1.09493","1.08677","1.0948","","","EURUSD"
"2024-03-08","1.0948","1.09813","1.09183","1.09381","","","EURUSD"
"2024-03-11","1.09393","1.09481","1.0914","1.09257","","","EURUSD"
"2024-03-12","1.09258","1.09438","1.09021","1.09255","","","EURUSD"
"2024-03-13","1.09258","1.09638","1.09199","1.09479","","","EURUSD"
"2024-03-14","1.09485","1.0955","1.08804","1.08847","","","EURUSD"
"2024-03-15","1.08853","1.08997","1.08726","1.08869","","","EURUSD"
"2024-03-18","1.08878","1.09061","1.08658","1.08721","","","EURUSD"
"2024-03-19","1.08728","1.08766","1.08345","1.08649","","","EURUSD"
"2024-03-20","1.08653","1.0923","1.0836","1.09211","","","EURUSD"
"2024-03-21","1.09206","1.09426","1.08551","1.08605","","","EURUSD"
"2024-03-22","1.08605","1.08681","1.08015","1.0805","","","EURUSD"
"2024-03-25","1.08074","1.08426","1.08019","1.08359","","","EURUSD"
"2024-03-26","1.08364","1.08643","1.0824","1.08316","","","EURUSD"
"2024-03-27","1.08319","1.08391","1.08104","1.08258","","","EURUSD"
"2024-03-28","1.0826","1.0827","1.07748","1.0789","","","EURUSD"
"2024-03-29","1.07889","1.08051","1.07677","1.079","","","EURUSD"
"2024-04-01","1.0791","1.0799","1.07307","1.07428","","","EURUSD"
"2024-04-02","1.07435","1.0779","1.07244","1.07734","","","EURUSD"
"2024-04-03","1.07722","1.0837","1.07637","1.08334","","","EURUSD"
"2024-04-04","1.08331","1.08766","1.08314","1.08382","","","EURUSD"
"2024-04-05","1.08381","1.0848","1.07912","1.0836","","","EURUSD"
"2024-04-08","1.08371","1.0863","1.08206","1.0859","","","EURUSD"
"2024-04-09","1.08589","1.08851","1.08475","1.08575","","","EURUSD"
"2024-04-10","1.08569","1.08665","1.07285","1.07429","","","EURUSD"
"2024-04-11","1.07429","1.07566","1.06989","1.07267","","","EURUSD"
"2024-04-12","1.07265","1.07293","1.0622","1.06385","","","EURUSD"
"2024-04-15","1.06337","1.06652","1.062","1.06234","","","EURUSD"
"2024-04-16","1.06238","1.06535","1.0601","1.06146","","","EURUSD"
"2024-04-17","1.06164","1.06796","1.06059","1.06709","","","EURUSD"
"2024-04-18","1.06715","1.069","1.0641","1.06435","","","EURUSD"
"2024-04-19","1.06431","1.06776","1.06102","1.06526","","","EURUSD"
"2024-04-22","1.06556","1.06706","1.06237","1.06513","","","EURUSD"
"2024-04-23","1.06519","1.07113","1.0638","1.07019","","","EURUSD"
"2024-04-24","1.07019","1.07142","1.06776","1.06967","","","EURUSD"
"2024-04-25","1.0697","1.074","1.06782","1.07281","","","EURUSD"
"2024-04-26","1.07284","1.0753","1.06737","1.06922","","","EURUSD"
"2024-04-29","1.06946","1.07337","1.06898","1.07203","","","EURUSD"
"2024-04-30","1.07205","1.07353","1.06628","1.0669","","","EURUSD"
"2024-05-01","1.06688","1.07328","1.0649","1.07096","","","EURUSD"
"2024-05-02","1.07114","1.07302","1.0674","1.07233","","","EURUSD"
"2024-05-03","1.07221","1.08124","1.07221","1.07609","","","EURUSD"
"2024-05-06","1.0763","1.07907","1.0755","1.07689","","","EURUSD"
"2024-05-07","1.07685","1.07874","1.07477","1.07559","","","EURUSD"
"2024-05-08","1.07553","1.07575","1.0733","1.07474","","","EURUSD"
"2024-05-09","1.07475","1.07847","1.07236","1.07807","","","EURUSD"
"2024-05-10","1.07805","1.07901","1.07602","1.07694","","","EURUSD"
"2024-05-13","1.07706","1.08068","1.07655","1.07883","","","EURUSD"
"2024-05-14","1.07896","1.08257","1.07668","1.08163","","","EURUSD"
"2024-05-15","1.08171","1.0886","1.08128","1.08832","","","EURUSD"
"2024-05-16","1.08828","1.0895","1.0854","1.08656","","","EURUSD"
"2024-05-17","1.0866","1.08786","1.08353","1.08674","","","EURUSD"
"2024-05-20","1.08688","1.08845","1.0853","1.08592","","","EURUSD"
"2024-05-21","1.08593","1.08748","1.08424","1.0855","","","EURUSD"
"2024-05-22","1.08551","1.08635","1.0817","1.08233","","","EURUSD"
"2024-05-23","1.08233","1.0861","1.08045","1.08142","","","EURUSD"
"2024-05-24","1.08144","1.0858","1.08052","1.0845","","","EURUSD"
"2024-05-27","1.08444","1.08675","1.08404","1.0856","","","EURUSD"
"2024-05-28","1.08563","1.0889","1.08542","1.08569","","","EURUSD"
"2024-05-29","1.08572","1.08604","1.07991","1.08029","","","EURUSD"
"2024-05-30","1.08032","1.08451","1.07879","1.08334","","","EURUSD"
"2024-05-31","1.08334","1.08823","1.08109","1.0845","","","EURUSD"
"2024-06-03","1.08462","1.09045","1.0826","1.09028","","","EURUSD"
"2024-06-04","1.09017","1.0916","1.08585","1.08786","","","EURUSD"
"2024-06-05","1.08788","1.08915","1.08541","1.08702","","","EURUSD"
"2024-06-06","1.087","1.0902","1.08617","1.08891","","","EURUSD"
"2024-06-07","1.08893","1.0902","1.07993","1.08","","","EURUSD"
"2024-06-10","1.07713","1.07817","1.07325","1.07648","","","EURUSD"
"2024-06-11","1.07649","1.07734","1.0719","1.07416","","","EURUSD"
"2024-06-12","1.07425","1.08523","1.07343","1.08109","","","EURUSD"
"2024-06-13","1.0812","1.08164","1.07309","1.07388","","","EURUSD"
"2024-06-14","1.07386","1.0745","1.06673","1.07025","","","EURUSD"
"2024-06-17","1.07045","1.0738","1.06862","1.07313","","","EURUSD"
"2024-06-18","1.07314","1.07615","1.07098","1.074","","","EURUSD"
"2024-06-19","1.07401","1.07534","1.07244","1.0744","","","EURUSD"
"2024-06-20","1.07441","1.0749","1.06994","1.0704","","","EURUSD"
"2024-06-21","1.07039","1.07206","1.06707","1.0691","","","EURUSD"
"2024-06-24","1.06906","1.07465","1.06834","1.07332","","","EURUSD"
"2024-06-25","1.07329","1.07442","1.06903","1.07123","","","EURUSD"
"2024-06-26","1.07123","1.0718","1.06658","1.06799","","","EURUSD"
"2024-06-27","1.06795","1.07264","1.06767","1.07048","","","EURUSD"
"2024-06-28","1.0705","1.07248","1.06851","1.07112","","","EURUSD"
"2024-07-01","1.0738","1.07765","1.07195","1.07384","","","EURUSD"
"2024-07-02","1.07384","1.07472","1.07097","1.07446","","","EURUSD"
"2024-07-03","1.07446","1.08169","1.0736","1.07855","","","EURUSD"
"2024-07-04","1.07855","1.0814","1.07834","1.0811","","","EURUSD"
"2024-07-05","1.08111","1.08426","1.07968","1.0837","","","EURUSD"
"2024-07-08","1.08178","1.08451","1.08143","1.08241","","","EURUSD"
"2024-07-09","1.08244","1.08333","1.0805","1.0814","","","EURUSD"
"2024-07-10","1.08139","1.08305","1.08105","1.08289","","","EURUSD"
"2024-07-11","1.08289","1.08999","1.0828","1.08659","","","EURUSD"
"2024-07-12","1.08659","1.09114","1.086","1.09054","","","EURUSD"
"2024-07-15","1.08882","1.09223","1.08829","1.08946","","","EURUSD"
"2024-07-16","1.08946","1.09056","1.08712","1.08977","","","EURUSD"
"2024-07-17","1.08988","1.09481","1.08949","1.09378","","","EURUSD"
"2024-07-18","1.09378","1.0941","1.0893","1.08975","","","EURUSD"
"2024-07-19","1.08974","1.0902","1.08753","1.08822","","","EURUSD"
"2024-07-22","1.08844","1.0903","1.08727","1.089","","","EURUSD"
"2024-07-23","1.08894","1.08968","1.08436","1.08531","","","EURUSD"
"2024-07-24","1.08534","1.08666","1.08253","1.084","","","EURUSD"
"2024-07-25","1.08393","1.08701","1.08278","1.08449","","","EURUSD"
"2024-07-26","1.08448","1.08683","1.08418","1.0855","","","EURUSD"
"2024-07-29","1.08557","1.087","1.08025","1.08223","","","EURUSD"
"2024-07-30","1.08225","1.08358","1.0798","1.08131","","","EURUSD"
"2024-07-31","1.08128","1.08494","1.08017","1.08268","","","EURUSD"
"2024-08-01","1.08269","1.08354","1.07772","1.0791","","","EURUSD"
"2024-08-02","1.07909","1.0927","1.07816","1.09098","","","EURUSD"
"2024-08-05","1.09195","1.1009","1.08923","1.09524","","","EURUSD"
"2024-08-06","1.09526","1.09631","1.09035","1.0929","","","EURUSD"
"2024-08-07","1.09285","1.09366","1.0905","1.09226","","","EURUSD"
"2024-08-08","1.09228","1.09451","1.08812","1.09164","","","EURUSD"
"2024-08-09","1.09162","1.09314","1.09087","1.09148","","","EURUSD"
"2024-08-12","1.09183","1.09395","1.09097","1.09317","","","EURUSD"
"2024-08-13","1.09314","1.09997","1.09134","1.09914","","","EURUSD"
"2024-08-14","1.09914","1.10264","1.0986","1.10253","","","EURUSD"
"2024-08-15","1.10111","1.1016","1.0949","1.09717","","","EURUSD"
"2024-08-16","1.09719","1.10297","1.09702","1.10253","","","EURUSD"
"2024-08-19","1.10247","1.10864","1.10215","1.1083","","","EURUSD"
"2024-08-20","1.10835","1.11304","1.10716","1.11286","","","EURUSD"
"2024-08-21","1.11285","1.11741","1.10992","1.11481","","","EURUSD"
"2024-08-22","1.11482","1.11649","1.10976","1.11108","","","EURUSD"
"2024-08-23","1.11112","1.1201","1.11052","1.11913","","","EURUSD"
"2024-08-26","1.11903","1.12015","1.11498","1.11604","","","EURUSD"
"2024-08-27","1.11604","1.11906","1.11501","1.11824","","","EURUSD"
"2024-08-28","1.11827","1.1185","1.11046","1.11188","","","EURUSD"
"2024-08-29","1.11188","1.11399","1.10553","1.1078","","","EURUSD"
"2024-08-30","1.10779","1.1095","1.10436","1.10465","","","EURUSD"
"2024-09-02","1.10464","1.10775","1.10416","1.10702","","","EURUSD"
"2024-09-03","1.10701","1.1073","1.1026","1.1045","","","EURUSD"
"2024-09-04","1.10445","1.10952","1.10382","1.1082","","","EURUSD"
"2024-09-05","1.10831","1.11197","1.10744","1.1108","","","EURUSD"
"2024-09-06","1.11083","1.11556","1.10653","1.1083","","","EURUSD"
"2024-09-09","1.10826","1.10911","1.1033","1.10357","","","EURUSD"
"2024-09-10","1.10364","1.10498","1.10149","1.1019","","","EURUSD"
"2024-09-11","1.10192","1.1055","1.10017","1.10128","","","EURUSD"
"2024-09-12","1.10124","1.10751","1.10052","1.10735","","","EURUSD"
"2024-09-13","1.10735","1.11019","1.107","1.10737","","","EURUSD"
"2024-09-16","1.10745","1.11376","1.10743","1.1131","","","EURUSD"
"2024-09-17","1.11302","1.11461","1.11106","1.11127","","","EURUSD"
"2024-09-18","1.1113","1.11891","1.10965","1.11156","","","EURUSD"
"2024-09-19","1.11156","1.1179","1.10681","1.11613","","","EURUSD"
"2024-09-20","1.11612","1.11819","1.11357","1.11617","","","EURUSD"
"2024-09-23","1.11612","1.11672","1.10829","1.1111","","","EURUSD"
"2024-09-24","1.11118","1.1181","1.11029","1.11783","","","EURUSD"
"2024-09-25","1.11786","1.1214","1.1121","1.1133","","","EURUSD"
"2024-09-26","1.11325","1.11893","1.11255","1.11748","","","EURUSD"
"2024-09-27","1.11747","1.1203","1.11247","1.1161","","","EURUSD"
"2024-09-30","1.11583","1.12089","1.11132","1.11349","","","EURUSD"
"2024-10-01","1.1135","1.1144","1.10455","1.10676","","","EURUSD"
"2024-10-02","1.10685","1.10828","1.10323","1.10474","","","EURUSD"
"2024-10-03","1.10478","1.1049","1.1008","1.10321","","","EURUSD"
"2024-10-04","1.10318","1.10396","1.0951","1.09739","","","EURUSD"
"2024-10-07","1.09682","1.0987","1.0954","1.09733","","","EURUSD"
"2024-10-08","1.09735","1.09971","1.09606","1.09778","","","EURUSD"
"2024-10-09","1.09785","1.0981","1.09359","1.09403","","","EURUSD"
"2024-10-10","1.09405","1.09548","1.08998","1.09349","","","EURUSD"
"2024-10-11","1.0935","1.09537","1.09257","1.09353","","","EURUSD"
"2024-10-14","1.09312","1.09366","1.0888","1.09059","","","EURUSD"
"2024-10-15","1.09077","1.09167","1.08816","1.08919","","","EURUSD"
"2024-10-16","1.08918","1.09014","1.0853","1.08628","","","EURUSD"
"2024-10-17","1.08627","1.08737","1.08106","1.08318","","","EURUSD"
"2024-10-18","1.08316","1.08694","1.0825","1.0865","","","EURUSD"
"2024-10-21","1.0866","1.0872","1.08108","1.08147","","","EURUSD"
"2024-10-22","1.08149","1.08381","1.07922","1.07982","","","EURUSD"
"2024-10-23","1.0798","1.08067","1.07609","1.0783","","","EURUSD"
"2024-10-24","1.07824","1.083","1.07702","1.08278","","","EURUSD"
"2024-10-25","1.0828","1.08393","1.07927","1.0793","","","EURUSD"
"2024-10-28","1.07935","1.08276","1.07817","1.08134","","","EURUSD"
"2024-10-29","1.08134","1.08263","1.07687","1.0814","","","EURUSD"
